DEVICE,BOTNET,CLASSIFIER,TRAIN-SIZE-A,TEST-SIZE-B,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
Philips_Baby_Monitor,mirai,RFR,10000,2869,0.9999,0.9999,1.0,0.9999,0,43
Philips_Baby_Monitor,mirai,DTR,10000,2869,0.9999,0.9999,0.9998,0.9999,43,31
Philips_Baby_Monitor,mirai,ADB,10000,2869,0.9997,0.9996,0.9997,0.9996,83,109
Philips_Baby_Monitor,mirai,KNN,50000,14347,0.9919,0.9937,0.9856,0.9896,4491,381
Philips_Baby_Monitor,mirai,RFR,50000,14347,0.9999,0.9999,1.0,0.9999,0,32
Philips_Baby_Monitor,mirai,DTR,50000,14347,1.0,0.9999,1.0,1.0,4,15
Philips_Baby_Monitor,mirai,ADB,50000,14347,1.0,0.9999,1.0,1.0,0,20
Philips_Baby_Monitor,mirai,KNN,100000,28694,0.9909,0.9928,0.9863,0.9895,3884,287
Philips_Baby_Monitor,mirai,RFR,100000,28694,1.0,1.0,1.0,1.0,0,9
Philips_Baby_Monitor,mirai,DTR,100000,28694,0.9999,1.0,0.9999,0.9999,16,7
Philips_Baby_Monitor,mirai,ADB,100000,28694,1.0,1.0,1.0,1.0,1,5
Philips_Baby_Monitor,mirai,KNN,200000,57389,0.9878,0.9893,0.9861,0.9875,3155,173
Philips_Baby_Monitor,mirai,RFR,200000,57389,1.0,1.0,1.0,1.0,0,1
Philips_Baby_Monitor,mirai,DTR,200000,57389,1.0,1.0,1.0,1.0,4,1
Philips_Baby_Monitor,mirai,ADB,200000,57389,1.0,1.0,1.0,1.0,2,0
1002_Security_Cam,gafgyt,KNN,10,2,0.8668,0.4334,0.5,0.4643,46583,0
1002_Security_Cam,gafgyt,RFR,10,2,0.9712,0.979,0.8957,0.9318,9656,413
1002_Security_Cam,gafgyt,DTR,10,2,0.9668,0.9701,0.8838,0.9209,10681,946
1002_Security_Cam,gafgyt,ADB,10,2,0.9473,0.8955,0.8702,0.8822,10950,7468
1002_Security_Cam,gafgyt,KNN,50,8,0.986,0.9921,0.9475,0.9683,4886,0
1002_Security_Cam,gafgyt,RFR,50,8,0.9934,0.9869,0.9845,0.9857,1293,1011
1002_Security_Cam,gafgyt,DTR,50,8,0.9842,0.9897,0.9417,0.964,5414,123
1002_Security_Cam,gafgyt,ADB,50,8,0.9942,0.9866,0.9885,0.9875,905,1111
1002_Security_Cam,gafgyt,KNN,100,15,0.9859,0.992,0.947,0.9679,4941,0
1002_Security_Cam,gafgyt,RFR,100,15,0.9929,0.9945,0.9748,0.9844,2321,147
1002_Security_Cam,gafgyt,DTR,100,15,0.9928,0.9956,0.9733,0.9841,2485,26
1002_Security_Cam,gafgyt,ADB,100,15,0.9906,0.9946,0.9647,0.979,3284,0
1002_Security_Cam,gafgyt,KNN,500,77,0.991,0.9884,0.9724,0.9802,2462,672
1002_Security_Cam,gafgyt,RFR,500,77,0.9992,0.9979,0.9984,0.9982,121,174
